Kabupaten/Kota,Produksi_Padi_(Ton),,
,2018,2019,2020
Ogan_Komering_Ulu,14124.16,17739.97,16807.12
Ogan_Komering_Ilir,484123.06,484604.79,513109.48
Muara_Enim,84206.44,83125.84,51617.05
Lahat,75360.65,73128.99,75503.76
Musi_Rawas,122214.04,103511.64,114375.06
Musi_Banyuasin,176385.25,136642.56,146152.13
Banyuasin,1038489.34,905845.79,922977.12
Ogan_Komering_Ulu_Selatan,32129.07,37418.38,34671.38
Ogan_Komering_Ulu_Timur,638198.79,575340.17,629001.31
Ogan_Ilir,185090.11,71846.34,67092.15
Empat_Lawang,60044.69,55920.35,58559.93
Pali,16929.87,17220.71,17278.49
Musi_Rawas_Utara,20836.01,6495.60,13263.77
Palembang,24470.82,12682.17,13691.79
Prabumulih,223.87,136.49,137.60
Pagar_Alam,14881.78,12735.42,14230.10
Lubuk_Linggau,6483.89,9001.03,8409.22
Sumatera_Selatan,2994191.84,2603396.24,2696877.46
"Sumber_:_BPS,_Survei_Kerangka_Sampel_Area",,,

Source_Url:_https://sumsel.bps.go.id/indicator/53/783/1/produksi-padi-.html,,,
"Access_Time:_November_1,_2021,_8:24_pm",,,