Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017,2018,2019,2020
Ogan_Komering_Ulu,Buah-Buahan,Salak,Kuintal,3577.0,1466.0,4364.0,8251.0,6748.0,3975.0
Ogan_Komering_Ilir,Buah-Buahan,Salak,Kuintal,35871.0,16873.0,26596.0,76796.0,96568.0,19176.0
Muara_Enim,Buah-Buahan,Salak,Kuintal,15009.0,5745.0,6734.0,9651.0,13017.0,4183.0
Lahat,Buah-Buahan,Salak,Kuintal,17038.0,9235.0,6839.0,16372.0,18590.0,20729.0
Musi_Rawas,Buah-Buahan,Salak,Kuintal,9944.0,7784.0,9347.0,13901.0,16108.0,13205.0
Musi_Banyuasin,Buah-Buahan,Salak,Kuintal,4737.0,3018.0,4201.0,13639.0,9399.0,7023.0
Banyuasin,Buah-Buahan,Salak,Kuintal,6625.0,4826.0,6415.0,12553.0,5410.0,7409.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Salak,Kuintal,3762.0,635.0,8523.0,4329.0,9696.0,6578.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Salak,Kuintal,15045.0,19992.0,17766.0,49115.0,37235.0,23647.0
Ogan_Ilir,Buah-Buahan,Salak,Kuintal,3465.0,3238.0,5636.0,3952.0,4690.0,4409.0
Empat_Lawang,Buah-Buahan,Salak,Kuintal,12743.0,14804.0,6472.0,11899.0,3304.0,2162.0
Pali,Buah-Buahan,Salak,Kuintal,0.0,160.0,707.0,2167.0,986.0,1546.0
Musi_Rawas_Utara,Buah-Buahan,Salak,Kuintal,550.0,2407.0,393.0,1347.0,5795.0,2486.0
Palembang,Buah-Buahan,Salak,Kuintal,7831.0,5933.0,5330.0,5944.0,3294.0,3594.0
Prabumulih,Buah-Buahan,Salak,Kuintal,947.0,643.0,521.0,594.0,1368.0,3558.0
Pagar_Alam,Buah-Buahan,Salak,Kuintal,6060.0,10226.0,8853.0,9502.0,2400.0,2789.0
Lubuk_Linggau,Buah-Buahan,Salak,Kuintal,2365.0,4545.0,1772.0,1654.0,2987.0,1380.0
Sumatera_Selatan,Buah-Buahan,Salak,Kuintal,145569.0,111530.0,120469.0,241666.0,237595.0,127850.0
Ogan_Komering_Ulu,Buah-Buahan,Mangga,Kuintal,51333.0,3777.0,7193.0,35238.0,19075.0,13555.0
Ogan_Komering_Ilir,Buah-Buahan,Mangga,Kuintal,15404.0,1865.0,17958.0,59768.0,13097.0,4269.0
Muara_Enim,Buah-Buahan,Mangga,Kuintal,47643.0,9709.0,10872.0,34878.0,60336.0,12459.0
Lahat,Buah-Buahan,Mangga,Kuintal,21940.0,14744.0,8021.0,41819.0,9532.0,24752.0
Musi_Rawas,Buah-Buahan,Mangga,Kuintal,37584.0,32205.0,33526.0,53421.0,58559.0,62427.0
Musi_Banyuasin,Buah-Buahan,Mangga,Kuintal,13106.0,2289.0,6928.0,41248.0,0.0,12027.0
Banyuasin,Buah-Buahan,Mangga,Kuintal,1493.0,2186.0,1896.0,4144.0,2895.0,1771.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Mangga,Kuintal,57249.0,19819.0,61867.0,124679.0,103932.0,90408.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Mangga,Kuintal,40861.0,3031.0,25977.0,40151.0,92796.0,49946.0
Ogan_Ilir,Buah-Buahan,Mangga,Kuintal,2006.0,87.0,873.0,3574.0,9864.0,1259.0
Empat_Lawang,Buah-Buahan,Mangga,Kuintal,9860.0,22468.0,2156.0,84278.0,6384.0,8016.0
Pali,Buah-Buahan,Mangga,Kuintal,0.0,27.0,271.0,757.0,835.0,1145.0
Musi_Rawas_Utara,Buah-Buahan,Mangga,Kuintal,6267.0,1419.0,965.0,22337.0,12098.0,6897.0
Palembang,Buah-Buahan,Mangga,Kuintal,2045.0,1068.0,1673.0,444.0,554.0,229.0
Prabumulih,Buah-Buahan,Mangga,Kuintal,926.0,406.0,155.0,251.0,213.0,592.0
Pagar_Alam,Buah-Buahan,Mangga,Kuintal,4771.0,10320.0,16126.0,15709.0,4705.0,2717.0
Lubuk_Linggau,Buah-Buahan,Mangga,Kuintal,13118.0,16634.0,2839.0,5736.0,11939.0,1033.0
Sumatera_Selatan,Buah-Buahan,Mangga,Kuintal,325606.0,142054.0,199296.0,568432.0,420476.0,293502.0
Ogan_Komering_Ulu,Buah-Buahan,Durian,Kuintal,34136.0,18735.0,94050.0,104152.0,75521.0,61918.0
Ogan_Komering_Ilir,Buah-Buahan,Durian,Kuintal,18440.0,30387.0,170311.0,131740.0,31775.0,13810.0
Muara_Enim,Buah-Buahan,Durian,Kuintal,2615.0,9224.0,17561.0,24241.0,29983.0,17878.0
Lahat,Buah-Buahan,Durian,Kuintal,963.0,749.0,760.0,406.0,669.0,989.0
Musi_Rawas,Buah-Buahan,Durian,Kuintal,48610.0,24428.0,38910.0,56061.0,60406.0,54469.0
Musi_Banyuasin,Buah-Buahan,Durian,Kuintal,2986.0,3278.0,3108.0,6109.0,3834.0,6575.0
Banyuasin,Buah-Buahan,Durian,Kuintal,18498.0,16328.0,35054.0,30650.0,20980.0,26890.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Durian,Kuintal,12839.0,1851.0,5098.0,2831.0,1161.0,1496.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Durian,Kuintal,5486.0,18200.0,19152.0,40278.0,51901.0,323406.0
Ogan_Ilir,Buah-Buahan,Durian,Kuintal,5620.0,7571.0,5767.0,14470.0,10568.0,2379.0
Empat_Lawang,Buah-Buahan,Durian,Kuintal,9479.0,18778.0,10863.0,7994.0,1661.0,2952.0
Pali,Buah-Buahan,Durian,Kuintal,0.0,40.0,260.0,250.0,160.0,2575.0
Musi_Rawas_Utara,Buah-Buahan,Durian,Kuintal,1323.0,2380.0,3183.0,3673.0,10467.0,27043.0
Palembang,Buah-Buahan,Durian,Kuintal,4458.0,3035.0,2089.0,368.0,509.0,494.0
Prabumulih,Buah-Buahan,Durian,Kuintal,337.0,279.0,228.0,122.0,152.0,488.0
Pagar_Alam,Buah-Buahan,Durian,Kuintal,372.0,2993.0,5070.0,6232.0,3904.0,2606.0
Lubuk_Linggau,Buah-Buahan,Durian,Kuintal,33.0,2.0,18.0,102.0,111.0,3.0
Sumatera_Selatan,Buah-Buahan,Durian,Kuintal,166195.0,158258.0,411482.0,429679.0,303762.0,545971.0
Ogan_Komering_Ulu,Buah-Buahan,Jeruk,Kuintal,22398.0,21984.0,27529.0,24974.0,21613.0,16669.0
Ogan_Komering_Ilir,Buah-Buahan,Jeruk,Kuintal,79664.0,109180.0,143531.0,126195.0,102088.0,56535.0
Muara_Enim,Buah-Buahan,Jeruk,Kuintal,57592.0,249869.0,112892.0,100072.0,219986.0,79435.0
Lahat,Buah-Buahan,Jeruk,Kuintal,15479.0,13957.0,10556.0,8489.0,11459.0,12558.0
Musi_Rawas,Buah-Buahan,Jeruk,Kuintal,42185.0,51002.0,63157.0,57824.0,47401.0,46513.0
Musi_Banyuasin,Buah-Buahan,Jeruk,Kuintal,33308.0,29213.0,44687.0,44668.0,29776.0,45972.0
Banyuasin,Buah-Buahan,Jeruk,Kuintal,19434.0,23568.0,40141.0,29202.0,17830.0,22851.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Jeruk,Kuintal,155350.0,60499.0,148010.0,129508.0,226710.0,282849.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Jeruk,Kuintal,1118323.0,273815.0,518475.0,1902897.0,699759.0,479947.0
Ogan_Ilir,Buah-Buahan,Jeruk,Kuintal,22721.0,29226.0,39779.0,30626.0,26935.0,24131.0
Empat_Lawang,Buah-Buahan,Jeruk,Kuintal,2659.0,4624.0,5076.0,6434.0,4988.0,8896.0
Pali,Buah-Buahan,Jeruk,Kuintal,1195.0,771.0,5943.0,8108.0,2442.0,6781.0
Musi_Rawas_Utara,Buah-Buahan,Jeruk,Kuintal,5027.0,5967.0,11226.0,10663.0,12862.0,16606.0
Palembang,Buah-Buahan,Jeruk,Kuintal,13925.0,7240.0,2786.0,2417.0,2202.0,672.0
Prabumulih,Buah-Buahan,Jeruk,Kuintal,4250.0,3328.0,3282.0,4456.0,2460.0,3279.0
Pagar_Alam,Buah-Buahan,Jeruk,Kuintal,1346.0,3610.0,4191.0,3793.0,1899.0,471.0
Lubuk_Linggau,Buah-Buahan,Jeruk,Kuintal,7008.0,32124.0,1506.0,3958.0,692.0,823.0
Sumatera_Selatan,Buah-Buahan,Jeruk,Kuintal,1601864.0,919977.0,1182767.0,2494284.0,1431102.0,1104987.0
Ogan_Komering_Ulu,Buah-Buahan,Pisang,Kuintal,22820.0,24668.0,31869.0,18724.0,21613.0,16162.0
Ogan_Komering_Ilir,Buah-Buahan,Pisang,Kuintal,9426.0,20754.0,22172.0,19915.0,102088.0,10295.0
Muara_Enim,Buah-Buahan,Pisang,Kuintal,3957.0,9120.0,5970.0,11082.0,219986.0,10530.0
Lahat,Buah-Buahan,Pisang,Kuintal,26174.0,15950.0,19037.0,25086.0,11459.0,20699.0
Musi_Rawas,Buah-Buahan,Pisang,Kuintal,9590.0,11673.0,9638.0,13200.0,47401.0,5996.0
Musi_Banyuasin,Buah-Buahan,Pisang,Kuintal,2312.0,2310.0,3566.0,4120.0,29776.0,7405.0
Banyuasin,Buah-Buahan,Pisang,Kuintal,2640.0,3021.0,3282.0,3453.0,17830.0,4344.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Pisang,Kuintal,3028.0,1967.0,4546.0,4760.0,226710.0,15225.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Pisang,Kuintal,70848.0,88935.0,69119.0,82332.0,699759.0,103227.0
Ogan_Ilir,Buah-Buahan,Pisang,Kuintal,9189.0,11586.0,13125.0,16745.0,26935.0,25016.0
Empat_Lawang,Buah-Buahan,Pisang,Kuintal,1810.0,1368.0,3558.0,2470.0,4988.0,6334.0
Pali,Buah-Buahan,Pisang,Kuintal,101.0,40.0,103.0,310.0,2442.0,6398.0
Musi_Rawas_Utara,Buah-Buahan,Pisang,Kuintal,2419.0,1259.0,2457.0,3011.0,12862.0,3559.0
Palembang,Buah-Buahan,Pisang,Kuintal,6712.0,1964.0,1001.0,1204.0,2202.0,640.0
Prabumulih,Buah-Buahan,Pisang,Kuintal,230.0,311.0,253.0,265.0,2460.0,6006.0
Pagar_Alam,Buah-Buahan,Pisang,Kuintal,1125.0,4635.0,3305.0,3038.0,1899.0,492.0
Lubuk_Linggau,Buah-Buahan,Pisang,Kuintal,677.0,2578.0,934.0,1092.0,692.0,130.0
Sumatera_Selatan,Buah-Buahan,Pisang,Kuintal,173058.0,202139.0,193935.0,210807.0,178170.0,242458.0
Ogan_Komering_Ulu,Buah-Buahan,Pepaya,Kuintal,3263.0,3170.0,3342.0,3588.0,1615.0,897.0
Ogan_Komering_Ilir,Buah-Buahan,Pepaya,Kuintal,1869.0,1252.0,8080.0,4736.0,1276.0,1579.0
Muara_Enim,Buah-Buahan,Pepaya,Kuintal,164808.0,162793.0,156843.0,114739.0,204707.0,208213.0
Lahat,Buah-Buahan,Pepaya,Kuintal,367.0,105.0,104.0,130.0,45.0,82.0
Musi_Rawas,Buah-Buahan,Pepaya,Kuintal,11209.0,26715.0,28703.0,27345.0,24388.0,12085.0
Musi_Banyuasin,Buah-Buahan,Pepaya,Kuintal,652.0,696.0,540.0,1184.0,1111.0,1299.0
Banyuasin,Buah-Buahan,Pepaya,Kuintal,5396.0,16216.0,13851.0,6060.0,5260.0,11449.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Pepaya,Kuintal,10.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Pepaya,Kuintal,329.0,221.0,178.0,192.0,123.0,153.0
Ogan_Ilir,Buah-Buahan,Pepaya,Kuintal,320379.0,299374.0,816106.0,1038493.0,1475723.0,817820.0
Empat_Lawang,Buah-Buahan,Pepaya,Kuintal,26.0,29.0,27.0,29.0,21.0,11.0
Pali,Buah-Buahan,Pepaya,Kuintal,440.0,350.0,3540.0,14008.0,12431.0,28470.0
Musi_Rawas_Utara,Buah-Buahan,Pepaya,Kuintal,258.0,87.0,134.0,172.0,186.0,243.0
Palembang,Buah-Buahan,Pepaya,Kuintal,99.0,49.0,32.0,11.0,32.0,71.0
Prabumulih,Buah-Buahan,Pepaya,Kuintal,65846.0,61509.0,59229.0,138138.0,71407.0,95522.0
Pagar_Alam,Buah-Buahan,Pepaya,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Lubuk_Linggau,Buah-Buahan,Pepaya,Kuintal,260.0,348.0,3.0,117.0,128.0,15.0
Sumatera_Selatan,Buah-Buahan,Pepaya,Kuintal,575211.0,572914.0,1090712.0,1348942.0,1798453.0,1177909.0
Ogan_Komering_Ulu,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,794.0,738.0,347.0
Ogan_Komering_Ilir,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,126.0,76.0,7.0
Muara_Enim,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,2.0,5.0,11.0
Lahat,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,3181.0,2251.0,3335.0
Musi_Rawas,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,1330.0,2174.0,1603.0
Musi_Banyuasin,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,3084.0,2122.0,2574.0
Banyuasin,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,238.0,174.0,31.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,2794.0,3289.0,6585.0
Ogan_Ilir,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,0.0,1.0,0.0
Empat_Lawang,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,109.0,193.0,160.0
Pali,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,14.0,8.0,30.0
Musi_Rawas_Utara,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,43.0,38.0,35.0
Palembang,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Prabumulih,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,16.0,24.0,941.0
Pagar_Alam,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,14425.0,2300.0,1873.0
Lubuk_Linggau,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,12.0,16.0,896.0
Sumatera_Selatan,Buah-Buahan,Nanas,Kuintal,0.0,0.0,0.0,26168.0,13409.0,18428.0
